level,music_level,title,score
10,expert,Session High⤴,1009852
10,expert,ハート・ビート,1000447
10,expert,Teriqma,1005484
10,master,星色夜空,1001522
10,master,STARTLINER,1001520
10+,expert,《逃避》 ～ The Deserter,1007264
11,expert,ナイト・オブ・ナイツ (USAO Remix),1000718
11,expert,Calamity Fortune,996981
11,master,▲MEW▲△MEW△CAKE,991206
11,master,magnet,1009430
11,master,みくみくにしてあげる♪【してやんよ】,1001562
11,master,色は匂へど散りぬるを,1009427
11,master,Bad Apple!! feat.nomico,975909
11,master,ポルカドット,1008279
11,master,りばーぶ,989161
11,master,Invitation,998651
11+,expert,Scarlet Lance,999480
11+,expert,Surveiller et punir,1007645
11+,master,だから僕は音楽を辞めた,1000700
11+,master,B.B.K.K.B.K.K.,979583
11+,master,Guilty,1008975
12,expert,BATTLE NO.1,1005359
12,expert,G e n g a o z o,1008449
12,expert,volcanic,1004894
12,expert,Garakuta Doll Play,989632
12,expert,AMAZING MIGHTYYYY!!!!,980197
12,expert,Excalibur ～Revived resolution～,993267
12,expert,ANU,915010
12,expert,《破滅》 ～ Rhapsody for The End,1001680
12,expert,Contrapasso -inferno-,1006283
12,expert,紅華刑,1003717
12,expert,Last Celebration,1009518
12,expert,macrocosmos,1006729
12,master,愛されなくても君がいる,1005830
12,master,ブレス・ユア・ブレス,991677
12,master,ワールズエンド・ダンスホール,973727
12,master,ヒビカセ,958564
12,master,ロキ,1008184
12,master,六兆年と一夜物語,985533
12,master,ロストワンの号哭,1006142
12,master,No Routine,996437
12,master,Bad Apple!! feat.nomico (Nhato Remix),968769
12,master,Spring of Dreams,1003771
12,master,Witches night,992347
12,master,儚きもの人間,992861
12,master,Grip & Break down !!,1003005
12,master,Scream out! -CHUNITHM Tuning-,1001717
12,master,WARNING×WARNING×WARNING,1006227
12,master,L9,971994
12,master,ドキドキDREAM!!!,998492
12,master,Still,994832
12,master,Session High⤴,999195
12,master,ハート・ビート,965705
12,master,クレッシェンド・ストーリー,990977
12,master,Ghost Dance,1007925
12,master,ロボットプラネットユートピア,1007343
12,master,Blaster Heaven,1006865
12,master,Wake up Dreamer,1004074
12+,expert,BUCHiGiRE Berserker,999084
12+,expert,神威,985806
12+,expert,SON OF SUN,986744
12+,expert,Ascension to Heaven,1002847
12+,expert,YURUSHITE,1001362
12+,expert,Opfer,992516
12+,expert,Viyella's Tears,1000089
12+,expert,怒槌,999235
12+,expert,Trrricksters!!,988776
12+,expert,玩具狂奏曲 -終焉-,937753
12+,expert,TiamaT:F minor,981090
12+,expert,Climax,979587
12+,expert,宿星審判,992527
12+,expert,folern,988458
12+,expert,Hainuwele,1009587
12+,master,絶対にチョコミントを食べるアオイチャン,1002739
12+,master,アンドロイドガール,975000
12+,master,ゴーストルール,999285
12+,master,命に嫌われている,992218
12+,master,カゲロウデイズ,976062
12+,master,セツナトリップ,1006604
12+,master,タイガーランペイジ,1004959
12+,master,しゅわスパ大作戦☆,1000764
12+,master,ウサテイ,970727
12+,master,少女幻葬戦慄曲　～　Necro Fantasia,995034
12+,master,Floating Darkness,1000243
12+,master,taboo tears you up,972814
12+,master,Axium Crisis,999129
12+,master,Auxesia,1002091
12+,master,Memory of Beach,1002927
12+,master,Altale,1002629
12+,master,Say A Vengeance,987451
12+,master,JULIAN,1002179
12+,master,Black Lair,1001499
12+,master,Bang Babang Bang!!!,1004714
12+,master,Here We Go,998005
12+,master,My First Phone,1003074
12+,master,Alma,997139
12+,master,stella=steLLa,976401
12+,master,MUSIC PЯAYER,1005148
12+,master,《逃避》 ～ The Deserter,991334
12+,master,Pastel Party,990088
12+,master,ゲシュタルト！テスト期間！！,967506
12+,master,Summer is over,489963
12+,master,ヴンダーカンマー,998759
12+,master,Blessed,987840
12+,master,【冒険】イングリット葛西降臨！【実況】,1004038
12+,master,レーイレーイ,1007619
12+,master,Paqqin,1004226
12+,master,Dual Fractal,1007285
12+,master,Drivessover,1005278
13,expert,混沌を越えし我らが神聖なる調律主を讃えよ,995562
13,master,ベースラインやってる？笑,995948
13,master,インビジブル,1003576
13,master,こちら、幸福安心委員会です。,1002233
13,master,ラクガキスト,1008367
13,master,害虫,1001558
13,master,カミサマネジマキ,1008938
13,master,初音ミクの消失,1003281
13,master,ぼくらの16bit戦争,1002042
13,master,ギガンティックO.T.N,1003011
13,master,ナイト・オブ・ナイツ (USAO Remix),1000613
13,master,ナイト・オブ・ナイツ (Cranky Remix),1009075
13,master,Sweet Requiem,1000711
13,master,レータイスパークEx,1006237
13,master,疾走あんさんぶる,1008050
13,master,きゅうりバーにダイブ,977443
13,master,サドマミホリック,1008851
13,master,最終鬼畜妹フランドール・S,1001726
13,master,最終鬼畜妹・一部声,1000190
13,master,Imperishable Night 2006 (2016 Refine),1005456
13,master,幻想のサテライト,1006495
13,master,DX超性能フルメタル少女,1006280
13,master,Cyaegha,1004071
13,master,Arcahv,997791
13,master,Brain Power,1002761
13,master,BlythE,1008343
13,master,Super Lovely (Heavenly Remix),1000326
13,master,SON OF SUN,993623
13,master,セイクリッド　ルイン,1001263
13,master,極圏,1001743
13,master,Scarlet Lance,997131
13,master,Taiko Drum Monster,1007623
13,master,GERBERA,1000977
13,master,Aragami,990183
13,master,conflict,1001360
13,master,Halcyon,997821
13,master,DRAGONLADY,1004246
13,master,DataErr0r,1005233
13,master,Strahv,990282
13,master,GOODTEK,1003507
13,master,Name of oath,1001924
13,master,G e n g a o z o,1003834
13,master,AVALON,1001776
13,master,volcanic,1006223
13,master,Pangaea,998135
13,master,Destr0yer,992342
13,master,Black Lotus,1005985
13,master,felys -final remix-,1003243
13,master,奏者はただ背中と提琴で語るのみ,999651
13,master,conflict(斉唱),1003092
13,master,分からない,1002559
13,master,Like the Wind [Reborn],996935
13,master,Hyper Active,1003858
13,master,CITRUS MONSTER,1000584
13,master,Oshama Scramble!,1002814
13,master,GEMINI -C-,999439
13,master,We Gonna Journey,1004783
13,master,luna blu,996908
13,master,閃鋼のブリューナク,991658
13,master,Gate of Fate,983664
13,master,The wheel to the right,995020
13,master,Tango Rouge,1002940
13,master,Gustav Battle,1005192
13,master,Cyberozar,1005104
13,master,Genesis,1007709
13,master,L'épisode,999970
13,master,GOLDEN RULE,998468
13,master,《運命》 ～ Ray of Hope,1006310
13,master,CHOCOLATE BOMB!!!!,1000282
13,master,Twilight,999263
13,master,おまかせ！！トラブルメイ娘☆とれびちゃん,1007605
13,master,オススメ☆♂♀☆でぃすとぴあ,1002707
13,master,立川浄穢捕物帳,1000309
13,master,Supersonic Generation,1007716
13,master,まごころのカスクルゥト,1003676
13,master,せかいせいふく！ゆりあちゃん！,1000596
13,master,ユメキキョウ,1004235
13,master,紅華刑,1004259
13,master,Sparking Revolver,1001513
13,master,《投影》 ～ Oh My Baby Doll,994297
13,master,《選別》 ～ Refuge,1002320
13,master,《本能》 ～ ReCoda,999505
13,master,Oshama Scramble! (Cranky Remix),1005138
13,master,Philosopher,1001189
13,master,Tidal Wave,997849
13,master,暗晦にハイライト,1002037
13,master,BlazinG AIR,1008390
13,master,Life,1006567
13,master,Innocent Truth,1003905
13,master,U ARE,1003230
13+,master,Calamity Fortune,1002598
13+,master,Lemegeton -little key of solomon-,1001911
13+,master,BUCHiGiRE Berserker,1002794
13+,master,Fracture Ray,1002797
13+,master,Grievous Lady,991844
13+,master,AttraqtiA,1002938
13+,master,Finite,996223
13+,master,神威,995849
13+,master,Sound Chimera,1005151
13+,master,Blackmagik Blazing,986895
13+,master,BATTLE NO.1,994421
13+,master,ouroboros -twin stroke of the end-,1000789
13+,master,FREEDOM DiVE,1000315
13+,master,★LittlE HearTs★,991069
13+,master,Doppelganger,989185
13+,master,Ascension to Heaven,1001314
13+,master,Garakuta Doll Play,982055
13+,master,AMAZING MIGHTYYYY!!!!,1004958
13+,master,VERTeX,1001785
13+,master,Caliburne ～Story of the Legendary sword～,1000354
13+,master,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,1001600
13+,master,larva,995161
13+,master,Excalibur ～Revived resolution～,1001276
13+,master,Alea jacta est!,1000613
13+,master,Ai Nov,1000751
13+,master,Everlasting Today,1003877
13+,master,YURUSHITE,986263
13+,master,Opfer,1003637
13+,master,MEGATON BLAST,1001360
13+,master,Viyella's Tears,985183
13+,master,otorii INNOVATED -[i]3-,1000802
13+,master,エンドマークに希望と涙を添えて,991124
13+,master,宛城、炎上！！,988146
13+,master,《破滅》 ～ Rhapsody for The End,992191
13+,master,GIGA DRIVE,981607
13+,master,Contrapasso -inferno-,991290
13+,master,Climax,1004237
13+,master,Walzer für das Nichts,1001402
13+,master,スピカの天秤,1002135
13+,master,folern,1000700
